date,year,quarter,month,day,day_of_week,day_name,week_of_year,season,is_weekend,is_holiday,holiday_name
2023-10-09,2023,4,10,9,0,Monday,41,autumn,0,0,
2023-10-10,2023,4,10,10,1,Tuesday,41,autumn,0,0,
2023-10-11,2023,4,10,11,2,Wednesday,41,autumn,0,0,
2023-10-12,2023,4,10,12,3,Thursday,41,autumn,0,0,
2023-10-13,2023,4,10,13,4,Friday,41,autumn,0,0,
2023-10-14,2023,4,10,14,5,Saturday,41,autumn,1,0,
2023-10-15,2023,4,10,15,6,Sunday,41,autumn,1,0,
2023-10-16,2023,4,10,16,0,Monday,42,autumn,0,0,
2023-10-17,2023,4,10,17,1,Tuesday,42,autumn,0,0,
2023-10-18,2023,4,10,18,2,Wednesday,42,autumn,0,0,
2023-10-19,2023,4,10,19,3,Thursday,42,autumn,0,0,
2023-10-20,2023,4,10,20,4,Friday,42,autumn,0,0,
2023-10-21,2023,4,10,21,5,Saturday,42,autumn,1,0,
2023-10-22,2023,4,10,22,6,Sunday,42,autumn,1,0,
2023-10-23,2023,4,10,23,0,Monday,43,autumn,0,0,
2023-10-24,2023,4,10,24,1,Tuesday,43,autumn,0,0,
2023-10-25,2023,4,10,25,2,Wednesday,43,autumn,0,0,
2023-10-26,2023,4,10,26,3,Thursday,43,autumn,0,0,
2023-10-27,2023,4,10,27,4,Friday,43,autumn,0,0,
2023-10-28,2023,4,10,28,5,Saturday,43,autumn,1,0,
2023-10-29,2023,4,10,29,6,Sunday,43,autumn,1,0,
2023-10-30,2023,4,10,30,0,Monday,44,autumn,0,0,
2023-10-31,2023,4,10,31,1,Tuesday,44,autumn,0,0,
2023-11-01,2023,4,11,1,2,Wednesday,44,autumn,0,0,
2023-11-02,2023,4,11,2,3,Thursday,44,autumn,0,0,
2023-11-03,2023,4,11,3,4,Friday,44,autumn,0,0,
2023-11-04,2023,4,11,4,5,Saturday,44,autumn,1,1,День народного единства
2023-11-05,2023,4,11,5,6,Sunday,44,autumn,1,0,
2023-11-06,2023,4,11,6,0,Monday,45,autumn,0,0,
2023-11-07,2023,4,11,7,1,Tuesday,45,autumn,0,0,
2023-11-08,2023,4,11,8,2,Wednesday,45,autumn,0,0,
2023-11-09,2023,4,11,9,3,Thursday,45,autumn,0,0,
2023-11-10,2023,4,11,10,4,Friday,45,autumn,0,0,
2023-11-11,2023,4,11,11,5,Saturday,45,autumn,1,0,
2023-11-12,2023,4,11,12,6,Sunday,45,autumn,1,0,
2023-11-13,2023,4,11,13,0,Monday,46,autumn,0,0,
2023-11-14,2023,4,11,14,1,Tuesday,46,autumn,0,0,
2023-11-15,2023,4,11,15,2,Wednesday,46,autumn,0,0,
2023-11-16,2023,4,11,16,3,Thursday,46,autumn,0,0,
2023-11-17,2023,4,11,17,4,Friday,46,autumn,0,0,
2023-11-18,2023,4,11,18,5,Saturday,46,autumn,1,0,
2023-11-19,2023,4,11,19,6,Sunday,46,autumn,1,0,
2023-11-20,2023,4,11,20,0,Monday,47,autumn,0,0,
2023-11-21,2023,4,11,21,1,Tuesday,47,autumn,0,0,
